SHUFFLE_ID,N_BEFORE_OUTLIER_PRIMARY,N_OUTLIER_TO_OUTLIER,N_OUTLIER_TO_BELOW_SCREENING_THRESHOLD,N_BELOW_SCREENING_THRESHOLD_TO_OUTLIER,OOF_RECLASSIFICATION_FRACTION
0,12080,11306,774,0,0.06407284768211921
1,12080,11440,640,0,0.052980132450331126
2,12080,11210,870,0,0.07201986754966887
3,12080,11418,662,0,0.05480132450331126
4,12080,11167,913,0,0.0755794701986755
5,12080,11343,737,0,0.061009933774834435
6,12080,11409,671,0,0.05554635761589404
7,12080,11193,887,0,0.0734271523178808
8,12080,11200,880,0,0.0728476821192053
9,12080,11456,624,0,0.051655629139072845
10,12080,11401,679,0,0.05620860927152318
11,12080,11375,705,0,0.05836092715231788
12,12080,11363,717,0,0.05935430463576159
13,12080,11325,755,0,0.0625
14,12080,11502,578,0,0.0478476821192053
15,12080,11220,860,0,0.07119205298013245
16,12080,11387,693,0,0.057367549668874175
17,12080,11427,653,0,0.05405629139072848
18,12080,11213,867,0,0.07177152317880794
19,12080,11441,639,0,0.05289735099337748
