PERMUTATION,N_BEFORE_OUTLIER_PRIMARY,N_OUTLIER_TO_OUTLIER,N_OUTLIER_TO_BELOW_SCREENING_THRESHOLD,N_BELOW_SCREENING_THRESHOLD_TO_OUTLIER,N_UNSCORABLE,OOF_RECLASSIFICATION_FRACTION,EXPOSURE_MAP_COVERAGE_FRACTION
0,12080,10773,1251,0,56,0.10355960264900663,1.0
1,12080,10158,1869,0,53,0.15471854304635763,1.0
2,12080,10963,1069,0,48,0.08849337748344371,1.0
3,12080,10915,1127,0,38,0.09329470198675496,1.0
4,12080,10619,1409,0,52,0.11663907284768212,1.0
5,12080,11159,880,0,41,0.0728476821192053,1.0
6,12080,10881,1125,0,74,0.09312913907284769,1.0
7,12080,11358,662,0,60,0.05480132450331126,1.0
8,12080,10956,1076,0,48,0.0890728476821192,1.0
9,12080,10711,1325,0,44,0.10968543046357616,1.0
10,12080,10751,1281,0,48,0.1060430463576159,1.0
11,12080,10971,1052,0,57,0.0870860927152318,1.0
12,12080,11058,982,0,40,0.08129139072847683,1.0
13,12080,10956,1075,0,49,0.08899006622516556,1.0
14,12080,10692,1343,0,45,0.11117549668874172,1.0
15,12080,11167,866,0,47,0.0716887417218543,1.0
16,12080,10967,1060,0,53,0.08774834437086093,1.0
17,12080,11057,979,0,44,0.08104304635761589,1.0
18,12080,10887,1156,0,37,0.0956953642384106,1.0
19,12080,10948,1097,0,35,0.09081125827814569,1.0
20,12080,10614,1409,0,57,0.11663907284768212,1.0
21,12080,11153,881,0,46,0.07293046357615894,1.0
22,12080,10972,1074,0,34,0.08890728476821191,1.0
23,12080,10598,1421,0,61,0.11763245033112583,1.0
24,12080,11081,940,0,59,0.07781456953642384,1.0
25,12080,10418,1610,0,52,0.13327814569536423,1.0
26,12080,10870,1172,0,38,0.09701986754966888,1.0
27,12080,10861,1170,0,49,0.09685430463576158,1.0
28,12080,10793,1250,0,37,0.10347682119205298,1.0
29,12080,11247,796,0,37,0.06589403973509934,1.0
30,12080,11644,405,0,31,0.03352649006622516,1.0
31,12080,11212,812,0,56,0.06721854304635762,1.0
32,12080,10759,1279,0,42,0.1058774834437086,1.0
33,12080,10786,1266,0,28,0.10480132450331126,1.0
34,12080,10268,1764,0,48,0.14602649006622517,1.0
35,12080,11221,804,0,55,0.06655629139072848,1.0
36,12080,10960,1076,0,44,0.0890728476821192,1.0
37,12080,11178,845,0,57,0.06995033112582781,1.0
38,12080,11141,888,0,51,0.07350993377483443,1.0
39,12080,10174,1874,0,32,0.15513245033112583,1.0
40,12080,10860,1164,0,56,0.09635761589403974,1.0
41,12080,11434,599,0,47,0.04958609271523179,1.0
42,12080,10954,1093,0,33,0.09048013245033112,1.0
43,12080,11300,712,0,68,0.05894039735099338,1.0
44,12080,11234,797,0,49,0.06597682119205298,1.0
45,12080,10832,1194,0,54,0.09884105960264901,1.0
46,12080,10482,1554,0,44,0.12864238410596027,1.0
47,12080,11311,737,0,32,0.061009933774834435,1.0
48,12080,10464,1574,0,42,0.13029801324503312,1.0
49,12080,11122,919,0,39,0.07607615894039735,1.0
50,12080,11205,836,0,39,0.06920529801324503,1.0
51,12080,10943,1089,0,48,0.09014900662251656,1.0
52,12080,11239,801,0,40,0.06630794701986754,1.0
53,12080,10736,1298,0,46,0.10745033112582782,1.0
54,12080,11083,921,0,76,0.07624172185430464,1.0
55,12080,11277,762,0,41,0.06307947019867549,1.0
56,12080,10905,1130,0,45,0.0935430463576159,1.0
57,12080,11253,783,0,44,0.06481788079470199,1.0
58,12080,10049,1976,0,55,0.16357615894039734,1.0
59,12080,10929,1106,0,45,0.09155629139072848,1.0
