STRATUM,STRATUM_VALUE,AMPLITUDE_KMS,PERIOD_DAYS,ECCENTRICITY,SIGNAL_MODEL,NOISE_MODEL,SEED,N_TRIALS,N_DETECTED,DETECTION_FRACTION
ALL,ALL,0.0,,0.0,NULL,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,1000,0,0.0
BASELINE_DAYS,30_TO_180,0.0,,0.0,NULL,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,619,0,0.0
BASELINE_DAYS,GE180,0.0,,0.0,NULL,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,70,0,0.0
BASELINE_DAYS,LT30,0.0,,0.0,NULL,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,311,0,0.0
MEDIAN_FEH,GE_MINUS0_5,0.0,,0.0,NULL,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,513,0,0.0
MEDIAN_FEH,LT_MINUS1_5,0.0,,0.0,NULL,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,97,0,0.0
MEDIAN_FEH,MINUS1_5_TO_MINUS0_5,0.0,,0.0,NULL,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,390,0,0.0
MEDIAN_LOGG,GE3_5,0.0,,0.0,NULL,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,954,0,0.0
MEDIAN_LOGG,LT3_5,0.0,,0.0,NULL,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,46,0,0.0
MEDIAN_SN_R,10_TO_30,0.0,,0.0,NULL,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,422,0,0.0
MEDIAN_SN_R,GE30,0.0,,0.0,NULL,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,439,0,0.0
MEDIAN_SN_R,LT10,0.0,,0.0,NULL,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,139,0,0.0
MEDIAN_TEFF,4500_TO_6500,0.0,,0.0,NULL,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,823,0,0.0
MEDIAN_TEFF,GE6500,0.0,,0.0,NULL,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,28,0,0.0
MEDIAN_TEFF,LT4500,0.0,,0.0,NULL,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,149,0,0.0
N_EPOCHS,3,0.0,,0.0,NULL,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,595,0,0.0
N_EPOCHS,4,0.0,,0.0,NULL,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,201,0,0.0
N_EPOCHS,5+,0.0,,0.0,NULL,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,204,0,0.0
PROGRAM,BACKUP,0.0,,0.0,NULL,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,796,0,0.0
PROGRAM,BRIGHT,0.0,,0.0,NULL,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,126,0,0.0
PROGRAM,DARK,0.0,,0.0,NULL,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,78,0,0.0
ALL,ALL,2.0,2.0,0.0,KEPLERIAN,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,1000,0,0.0
BASELINE_DAYS,30_TO_180,2.0,2.0,0.0,KEPLERIAN,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,587,0,0.0
BASELINE_DAYS,GE180,2.0,2.0,0.0,KEPLERIAN,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,76,0,0.0
BASELINE_DAYS,LT30,2.0,2.0,0.0,KEPLERIAN,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,337,0,0.0
MEDIAN_FEH,GE_MINUS0_5,2.0,2.0,0.0,KEPLERIAN,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,526,0,0.0
MEDIAN_FEH,LT_MINUS1_5,2.0,2.0,0.0,KEPLERIAN,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,102,0,0.0
MEDIAN_FEH,MINUS1_5_TO_MINUS0_5,2.0,2.0,0.0,KEPLERIAN,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,372,0,0.0
MEDIAN_LOGG,GE3_5,2.0,2.0,0.0,KEPLERIAN,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,954,0,0.0
MEDIAN_LOGG,LT3_5,2.0,2.0,0.0,KEPLERIAN,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,46,0,0.0
MEDIAN_SN_R,10_TO_30,2.0,2.0,0.0,KEPLERIAN,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,415,0,0.0
MEDIAN_SN_R,GE30,2.0,2.0,0.0,KEPLERIAN,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,460,0,0.0
MEDIAN_SN_R,LT10,2.0,2.0,0.0,KEPLERIAN,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,125,0,0.0
MEDIAN_TEFF,4500_TO_6500,2.0,2.0,0.0,KEPLERIAN,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,810,0,0.0
MEDIAN_TEFF,GE6500,2.0,2.0,0.0,KEPLERIAN,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,38,0,0.0
MEDIAN_TEFF,LT4500,2.0,2.0,0.0,KEPLERIAN,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,152,0,0.0
N_EPOCHS,3,2.0,2.0,0.0,KEPLERIAN,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,604,0,0.0
N_EPOCHS,4,2.0,2.0,0.0,KEPLERIAN,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,183,0,0.0
N_EPOCHS,5+,2.0,2.0,0.0,KEPLERIAN,GAUSSIAN_PLUS_BOOTSTRAP_OFFSET,20260713,213,0,0.0
