COHORT,P_THRESHOLD,SIGMA_THRESHOLD,N_COHORT,N_BEFORE_OUTLIER,N_OOF_OUTLIER,N_OUTLIER_TO_BELOW_SCREENING_THRESHOLD,N_BELOW_SCREENING_THRESHOLD_TO_OUTLIER
PRIMARY_ALL,1e-05,4.0,316744,14444,12934,2063,553
PRIMARY_ALL,1e-05,5.0,316744,12574,11369,1715,510
PRIMARY_ALL,1e-05,6.0,316744,9325,8877,891,443
PRIMARY_ALL,1e-06,4.0,316744,12529,11490,1562,523
PRIMARY_ALL,1e-06,5.0,316744,12080,11049,1540,509
PRIMARY_ALL,1e-06,6.0,316744,9325,8877,891,443
PRIMARY_ALL,1e-07,4.0,316744,11102,10400,1216,514
PRIMARY_ALL,1e-07,5.0,316744,11022,10304,1215,497
PRIMARY_ALL,1e-07,6.0,316744,9315,8875,883,443
FROZEN_STRICT_CANDIDATES,1e-05,4.0,12080,12080,11206,874,0
FROZEN_STRICT_CANDIDATES,1e-05,5.0,12080,12080,10733,1347,0
FROZEN_STRICT_CANDIDATES,1e-05,6.0,12080,9325,8760,891,326
FROZEN_STRICT_CANDIDATES,1e-06,4.0,12080,12080,10685,1395,0
FROZEN_STRICT_CANDIDATES,1e-06,5.0,12080,12080,10540,1540,0
FROZEN_STRICT_CANDIDATES,1e-06,6.0,12080,9325,8760,891,326
FROZEN_STRICT_CANDIDATES,1e-07,4.0,12080,11022,10013,1183,174
FROZEN_STRICT_CANDIDATES,1e-07,5.0,12080,11022,9981,1215,174
FROZEN_STRICT_CANDIDATES,1e-07,6.0,12080,9315,8758,883,326
